name,link,year_from,year_to,college,active,HS,PIPM,Wins Added,bbrID,Season,Tm,PER,WS,WS/48,BPM,VORP,Award,Lg,Salary,Age,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,Team
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-1.12,0.15,corbity01,1985-86,SAS,9.7,0.1,.017,-3.7,-0.1,,NBA,85700,23,16,10.9,.422,.714,1.6,0.7,0.7,0.1,4.0,SAS
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-2.57,-0.26,corbity01,1986-87,TOT,10.7,1.2,.048,-2.7,-0.2,,NBA,,24,63,18.6,.409,.734,3.4,1.5,0.9,0.1,6.4,"SAS,CLE"
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-1.91,0.43,corbity01,1987-88,TOT,12.4,3.0,.082,-0.8,0.5,,NBA,125000,25,84,20.7,.490,.797,4.2,1.4,0.9,0.2,7.4,"CLE,PHO"
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",+0.68,3.92,corbity01,1988-89,PHO,14.7,5.4,.156,3.6,2.3,,NBA,200000,26,77,21.5,.540,.788,5.2,1.5,1.1,0.2,8.2,PHO
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",+0.36,5.39,corbity01,1989-90,MIN,15.9,6.8,.108,2.6,3.5,,NBA,,27,82,36.7,.481,.770,7.4,2.6,2.1,0.5,14.7,MIN
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",+0.14,5.24,corbity01,1990-91,MIN,16.6,5.4,.081,1.6,2.9,,NBA,830000,28,82,39.0,.448,.798,7.2,4.2,2.0,0.6,18.0,MIN
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-1.56,1.31,corbity01,1991-92,TOT,13.6,5.6,.122,1.4,1.9,,NBA,922000,29,80,27.6,.481,.866,5.9,1.8,1.0,0.3,9.8,"MIN,UTA"
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",+0.12,4.40,corbity01,1992-93,UTA,14.4,6.7,.126,2.6,3.0,,NBA,1100000,30,82,31.2,.503,.826,6.3,2.1,1.3,0.4,11.6,UTA
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-0.84,2.47,corbity01,1993-94,UTA,11.8,4.4,.099,1.4,1.8,,NBA,1400000,31,82,26.2,.456,.813,4.7,1.5,1.2,0.3,8.0,UTA
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-1.52,0.73,corbity01,1994-95,ATL,12.0,2.1,.073,-2.8,-0.3,,NBA,1600000,32,81,17.1,.442,.684,3.2,0.8,0.7,0.2,6.2,ATL
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-1.08,1.04,corbity01,1995-96,TOT,12.6,2.5,.093,-0.3,0.5,,NBA,1700000,33,71,18.1,.442,.833,3.4,1.2,0.9,0.3,5.8,"SAC,MIA"
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-0.44,3.30,corbity01,1996-97,ATL,11.0,5.0,.104,0.5,1.4,,NBA,247500,34,70,32.9,.422,.796,4.2,1.8,1.3,0.1,9.5,ATL
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-0.03,4.27,corbity01,1997-98,ATL,12.0,5.5,.098,0.7,1.8,,NBA,326700,35,79,34.2,.439,.789,4.6,2.2,1.3,0.1,10.2,ATL
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-0.78,1.29,corbity01,1998-99,ATL,11.4,2.2,.098,-0.5,0.4,,NBA,2400000,36,47,22.7,.391,.650,3.1,0.9,0.7,0.1,7.5,ATL
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-2.18,0.00,corbity01,1999-00,SAC,7.9,0.9,.048,-2.6,-0.1,,NBA,510000,37,54,17.4,.356,.846,3.1,1.1,0.7,0.1,4.1,SAC
Tyrone Corbin,/players/c/corbity01.html,1986,2001,DePaul University,false,"A.C. Flora in Columbia, South Carolina",-1.76,0.04,corbity01,2000-01,TOR,-2.2,-0.3,-0.126,-11.0,-0.3,,NBA,1000000,38,15,7.8,.237,.500,0.9,0.3,0.1,0.0,1.3,TOR
