bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,Award
longgr01,1988-89,22,MIA,NBA,82,29.7,.486,.000,.489,.486,.749,6.7,1.8,1.5,0.6,11.9,
longgr01,1989-90,23,MIA,NBA,81,22.9,.483,.000,.486,.483,.714,5.0,1.2,1.1,0.5,8.5,
longgr01,1990-91,24,MIA,NBA,80,31.4,.492,.167,.495,.493,.787,7.1,2.2,1.5,0.5,9.2,
longgr01,1991-92,25,MIA,NBA,82,37.4,.494,.273,.500,.498,.807,8.4,2.7,1.7,0.5,14.8,
longgr01,1992-93,26,MIA,NBA,76,35.9,.469,.231,.476,.472,.765,7.5,2.4,1.4,0.4,14.0,
longgr01,1993-94,27,MIA,NBA,69,31.9,.446,.167,.449,.447,.786,7.2,2.5,1.3,0.4,11.4,
longgr01,1994-95,28,"MIA,ATL",NBA,81,32.6,.478,.355,.483,.485,.751,7.5,1.6,1.3,0.4,11.6,
longgr01,1995-96,29,ATL,NBA,82,36.7,.471,.360,.484,.490,.763,9.6,2.2,1.3,0.4,13.1,
longgr01,1996-97,30,DET,NBA,65,17.9,.447,.362,.465,.478,.750,3.4,0.6,0.7,0.1,5.0,
longgr01,1997-98,31,DET,NBA,40,18.5,.427,.000,.442,.427,.719,3.8,0.6,0.7,0.3,3.5,
longgr01,1998-99,32,ATL,NBA,50,27.6,.421,.167,.434,.425,.783,5.9,1.1,1.1,0.3,9.8,
longgr01,1999-00,33,VAN,NBA,42,21.9,.443,.000,.454,.443,.775,5.6,1.0,1.1,0.2,4.8,
longgr01,2000-01,34,VAN,NBA,66,22.8,.439,.267,.447,.445,.713,4.2,1.3,1.1,0.2,6.0,
longgr01,2001-02,35,MEM,NBA,66,28.3,.426,.176,.438,.430,.699,3.5,2.1,1.0,0.2,6.3,
longgr01,2002-03,36,BOS,NBA,41,11.9,.386,.000,.403,.386,.783,2.0,0.6,0.2,0.0,1.8,
