bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award
mariosh01,1999-00,21,PHO,NBA,51,24.7,.471,.847,6.5,1.4,0.7,1.0,10.2,17.1,4.1,.158,0.9,0.9,
mariosh01,2000-01,22,PHO,NBA,79,36.2,.480,.810,10.7,2.0,1.7,1.4,17.3,21.0,11.7,.196,4.2,4.5,
mariosh01,2001-02,23,PHO,NBA,81,38.4,.469,.845,9.9,2.0,1.8,1.1,19.1,19.8,9.8,.151,2.6,3.6,
mariosh01,2002-03,24,PHO,NBA,81,41.6,.452,.851,9.5,2.4,2.3,1.2,21.2,21.3,13.0,.186,5.5,6.4,
mariosh01,2003-04,25,PHO,NBA,79,40.7,.440,.851,9.3,2.7,2.1,1.3,19.0,19.9,9.1,.135,3.8,4.7,
mariosh01,2004-05,26,PHO,NBA,81,38.8,.476,.833,11.3,1.9,2.0,1.5,19.4,21.7,12.5,.191,4.9,5.5,All-NBA (3rd)
mariosh01,2005-06,27,PHO,NBA,81,40.3,.525,.809,11.8,1.8,2.0,1.7,21.8,23.6,14.6,.214,5.3,5.9,All-NBA (3rd)
mariosh01,2006-07,28,PHO,NBA,80,37.6,.524,.810,9.8,1.7,2.0,1.5,17.5,20.8,12.0,.191,5.5,5.7,
mariosh01,2007-08,29,"PHO,MIA",NBA,63,36.7,.508,.707,10.2,2.2,2.0,1.3,15.4,19.2,7.4,.153,4.5,3.8,
mariosh01,2008-09,30,"MIA,TOR",NBA,69,35.8,.485,.796,8.5,2.0,1.3,1.0,12.9,16.0,5.2,.101,1.1,1.9,
mariosh01,2009-10,31,DAL,NBA,75,31.8,.508,.755,6.4,1.4,0.9,0.8,12.0,14.7,5.0,.100,0.4,1.5,
mariosh01,2010-11,32,DAL,NBA,80,28.2,.520,.768,6.9,1.4,0.9,0.6,12.5,17.0,5.6,.120,1.2,1.8,
mariosh01,2011-12,33,DAL,NBA,63,30.5,.446,.796,7.4,2.1,1.1,0.6,10.6,15.0,3.7,.092,1.1,1.5,
mariosh01,2012-13,34,DAL,NBA,67,30.0,.514,.782,7.8,2.4,1.1,0.7,12.1,18.0,5.3,.127,2.8,2.4,
mariosh01,2013-14,35,DAL,NBA,76,31.7,.482,.785,6.5,1.6,1.2,0.5,10.4,13.7,4.3,.086,1.1,1.9,
mariosh01,2014-15,36,CLE,NBA,57,19.3,.446,.765,3.5,0.9,0.5,0.5,4.8,11.0,1.7,.074,-1.3,0.2,
