bbrID,Season,Age,Tm,Lg,G,MP,FG%,FT%,TRB,AST,STL,BLK,PTS,PER,WS,WS/48,BPM,VORP,Award,Salary
pachuza01,2003-04,19,Orlando Magic,NBA,59,11.3,.389,.644,2.9,0.2,0.4,0.2,3.3,10.8,0.3,.023,-6.6,-0.8,,366931
pachuza01,2004-05,20,Milwaukee Bucks,NBA,74,18.9,.452,.746,5.1,0.8,0.6,0.5,6.2,14.4,2.9,.099,-0.6,0.5,,620046
pachuza01,2005-06,21,Atlanta Hawks,NBA,78,31.4,.451,.735,7.9,1.7,1.1,0.5,11.7,15.0,3.9,.077,-0.9,0.7,,4000000
pachuza01,2006-07,22,Atlanta Hawks,NBA,72,28.1,.474,.786,6.9,1.5,1.1,0.5,12.2,16.8,4.8,.114,-0.1,1.0,,4000000
pachuza01,2007-08,23,Atlanta Hawks,NBA,62,15.2,.437,.706,4.0,0.6,0.4,0.2,5.2,11.0,1.1,.054,-4.8,-0.7,,4000000
pachuza01,2008-09,24,Atlanta Hawks,NBA,77,19.1,.497,.709,5.7,0.7,0.5,0.3,6.2,14.1,3.9,.127,-1.3,0.2,,4000000
pachuza01,2009-10,25,Atlanta Hawks,NBA,78,14.0,.488,.650,3.8,0.5,0.5,0.4,4.3,13.1,2.7,.121,-0.9,0.3,,4750000
pachuza01,2010-11,26,Atlanta Hawks,NBA,79,15.7,.461,.754,4.2,0.7,0.4,0.3,4.4,12.4,3.1,.118,-1.5,0.2,,4251250
pachuza01,2011-12,27,Atlanta Hawks,NBA,58,28.3,.499,.741,7.9,1.4,0.9,0.5,7.8,14.0,5.0,.147,1.4,1.4,,4750000
pachuza01,2012-13,28,Atlanta Hawks,NBA,52,21.8,.473,.757,6.5,1.5,0.7,0.2,5.9,13.1,2.7,.116,0.0,0.6,,5248750
pachuza01,2013-14,29,Milwaukee Bucks,NBA,53,25.0,.427,.846,6.3,2.6,0.8,0.3,7.7,14.0,1.7,.060,-0.7,0.4,,5200000
pachuza01,2014-15,30,Milwaukee Bucks,NBA,73,23.7,.454,.788,6.8,2.4,1.1,0.3,8.3,15.6,4.2,.116,1.4,1.5,,5200000
pachuza01,2015-16,31,Dallas Mavericks,NBA,76,26.4,.466,.768,9.4,1.7,0.8,0.3,8.6,16.2,6.0,.145,1.4,1.7,,5200000
pachuza01,2016-17,32,Golden State Warriors,NBA,70,18.1,.534,.778,5.9,1.9,0.8,0.5,6.1,16.1,4.7,.178,2.7,1.5,,2898000
pachuza01,2017-18,33,Golden State Warriors,NBA,69,14.1,.564,.806,4.7,1.6,0.6,0.2,5.4,17.0,3.3,.161,0.8,0.7,,3477600
