bbrID,Season,Age,Tm,Lg,G,MP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,PTS,Award
rondora01,2006-07,20,BOS,NBA,78,23.5,.418,.207,.432,.424,.647,3.7,3.8,1.6,0.1,6.4,
rondora01,2007-08,21,BOS,NBA,77,29.9,.492,.263,.499,.496,.611,4.2,5.1,1.7,0.2,10.6,
rondora01,2008-09,22,BOS,NBA,80,33.0,.505,.313,.518,.514,.642,5.2,8.2,1.9,0.1,11.9,
rondora01,2009-10,23,BOS,NBA,81,36.6,.508,.213,.536,.517,.621,4.4,9.8,2.3,0.1,13.7,
rondora01,2010-11,24,BOS,NBA,68,37.2,.475,.233,.491,.482,.568,4.4,11.2,2.3,0.2,10.6,
rondora01,2011-12,25,BOS,NBA,53,36.9,.448,.238,.464,.456,.597,4.8,11.7,1.8,0.1,11.9,All-NBA (3rd)
rondora01,2012-13,26,BOS,NBA,38,37.4,.484,.240,.513,.497,.645,5.6,11.1,1.8,0.2,13.7,
rondora01,2013-14,27,BOS,NBA,30,33.3,.403,.289,.442,.440,.627,5.5,9.8,1.3,0.1,11.7,
rondora01,2014-15,28,"BOS,DAL",NBA,68,29.7,.426,.314,.444,.447,.397,5.5,7.9,1.3,0.1,8.9,
rondora01,2015-16,29,SAC,NBA,72,35.2,.454,.365,.479,.494,.580,6.0,11.7,2.0,0.1,11.9,
rondora01,2016-17,30,CHI,NBA,69,26.7,.408,.376,.418,.453,.600,5.1,6.7,1.4,0.2,7.8,
